job_role,experience,notice_period,interview_time,past_reschedules,current_company_size,candidate_location,communication_score,expected_salary,scheduled_day_gap,no_show
Backend Developer,3.1,45,Evening,0,Mid-size,Same City,1.6,805435,4,0
QA Tester,8.0,45,Afternoon,1,Mid-size,Different City,9.0,1453307,18,0
Backend Developer,5.4,45,Morning,0,Startup,Same City,1.3,354663,12,1
Software Engineer,3.1,15,Morning,0,Startup,Same City,7.7,273088,17,0
Software Engineer,6.1,30,Morning,0,Startup,Different City,7.8,1367040,9,1
QA Tester,7.2,60,Morning,1,Startup,Same City,9.6,1096430,19,0
Data Analyst,2.7,15,Morning,0,Mid-size,Different City,1.5,401171,14,0
Software Engineer,4.1,30,Afternoon,0,Enterprise,Same City,6.4,1237314,14,0
Frontend Developer,1.2,30,Afternoon,0,Enterprise,Different City,4.9,1336315,17,0
Software Engineer,1.8,30,Afternoon,1,Enterprise,Same City,4.0,1438037,2,0
Software Engineer,6.8,90,Afternoon,2,Mid-size,Different City,1.8,267352,8,1
Data Analyst,1.8,15,Morning,0,Mid-size,Different City,6.1,376788,5,0
Backend Developer,5.3,45,Morning,2,Mid-size,Same City,5.3,664364,7,1
Software Engineer,7.1,15,Morning,0,Startup,Same City,1.9,842328,16,1
QA Tester,1.1,90,Afternoon,0,Startup,Same City,6.5,1226124,16,0
Backend Developer,5.7,15,Morning,0,Mid-size,Different City,7.6,1393006,17,0
Frontend Developer,2.6,30,Morning,0,Enterprise,Same City,7.9,700330,7,0
Data Analyst,9.6,45,Afternoon,1,Startup,Same City,9.1,1208215,8,1
Frontend Developer,4.8,45,Evening,1,Startup,Same City,4.7,890245,8,1
Backend Developer,8.1,30,Morning,0,Enterprise,Same City,9.6,792036,11,0
Backend Developer,5.5,30,Afternoon,0,Startup,Same City,8.8,365158,15,0
Backend Developer,0.4,30,Afternoon,1,Enterprise,Different City,3.7,1494930,18,0
Frontend Developer,6.3,30,Afternoon,2,Enterprise,Same City,2.4,965720,6,1
Backend Developer,9.5,30,Evening,0,Enterprise,Different City,4.9,491851,12,1
Frontend Developer,6.0,30,Morning,3,Mid-size,Same City,4.6,309395,15,1
Backend Developer,8.2,30,Morning,0,Mid-size,Same City,6.2,1252378,6,0
QA Tester,8.8,30,Evening,0,Mid-size,Same City,6.3,472143,18,0
Backend Developer,2.3,45,Afternoon,1,Mid-size,Same City,7.7,1036401,9,1
Frontend Developer,2.1,90,Afternoon,0,Mid-size,Different City,5.6,1051292,8,0
Software Engineer,6.1,45,Afternoon,0,Startup,Different City,1.9,791301,14,1
Backend Developer,4.1,15,Afternoon,0,Mid-size,Same City,8.7,650623,19,0
Software Engineer,8.4,15,Evening,1,Mid-size,Same City,3.8,1323511,19,0
QA Tester,9.0,90,Evening,1,Enterprise,Same City,9.7,750229,8,1
Data Analyst,3.5,30,Afternoon,0,Enterprise,Different City,2.1,823367,2,0
QA Tester,2.4,15,Morning,0,Mid-size,Different City,9.6,284111,4,1
Backend Developer,7.8,45,Evening,0,Startup,Different City,1.8,1092982,6,0
Software Engineer,2.7,45,Morning,0,Enterprise,Same City,3.1,456769,3,0
Software Engineer,8.2,45,Morning,0,Mid-size,Same City,1.4,732333,3,1
Frontend Developer,4.2,30,Evening,1,Enterprise,Same City,7.3,468008,19,0
Software Engineer,6.7,15,Morning,0,Enterprise,Same City,8.7,290565,11,0
Frontend Developer,1.0,90,Morning,0,Startup,Same City,4.9,1317859,10,0
Data Analyst,6.2,30,Morning,0,Enterprise,Same City,9.4,861204,12,0
Backend Developer,4.5,45,Evening,0,Startup,Same City,6.3,1378128,14,0
Frontend Developer,5.9,45,Afternoon,2,Mid-size,Different City,6.7,1288734,18,1
Data Analyst,1.7,45,Afternoon,0,Mid-size,Different City,8.6,288233,9,1
Software Engineer,7.4,30,Morning,0,Startup,Same City,3.7,534839,15,1
Software Engineer,8.6,30,Afternoon,0,Enterprise,Same City,4.2,1257992,3,0
Data Analyst,2.2,45,Afternoon,0,Startup,Same City,9.2,423806,11,0
Software Engineer,1.0,60,Morning,0,Startup,Different City,9.1,593401,10,0
Data Analyst,0.2,90,Afternoon,0,Mid-size,Different City,9.8,1037937,18,0
Frontend Developer,6.4,15,Morning,0,Enterprise,Different City,9.1,1216212,4,0
Frontend Developer,6.1,15,Evening,0,Enterprise,Different City,2.1,555758,13,1
Data Analyst,5.5,90,Afternoon,0,Enterprise,Same City,8.4,1299586,6,0
Frontend Developer,2.3,45,Evening,0,Mid-size,Same City,4.7,494300,13,0
Frontend Developer,3.9,60,Morning,3,Mid-size,Same City,9.9,400933,5,0
Frontend Developer,5.9,30,Afternoon,0,Startup,Same City,5.3,1029470,14,1
QA Tester,5.0,45,Afternoon,0,Startup,Different City,6.0,914729,13,1
Backend Developer,9.9,45,Afternoon,0,Mid-size,Same City,5.8,932031,14,0
Software Engineer,1.4,45,Evening,0,Mid-size,Same City,3.9,1242904,8,0
QA Tester,7.0,30,Morning,1,Mid-size,Same City,1.7,1363088,16,0
Frontend Developer,4.0,15,Morning,0,Enterprise,Different City,9.1,1396602,13,0
Data Analyst,4.3,45,Afternoon,1,Mid-size,Same City,8.2,1374232,15,0
Frontend Developer,7.2,30,Afternoon,0,Startup,Same City,2.3,609830,19,0
Backend Developer,6.9,30,Afternoon,0,Startup,Same City,8.0,1473786,1,0
Frontend Developer,9.9,90,Morning,1,Enterprise,Same City,6.6,1483068,2,0
Data Analyst,1.3,30,Afternoon,0,Enterprise,Same City,4.7,1235593,18,0
Backend Developer,1.0,60,Morning,0,Enterprise,Different City,3.3,527633,19,0
Frontend Developer,7.2,15,Afternoon,0,Startup,Same City,8.7,309789,8,1
Backend Developer,5.8,45,Afternoon,1,Enterprise,Different City,7.3,1375201,3,1
Software Engineer,2.7,90,Afternoon,0,Startup,Same City,5.9,771564,14,0
Software Engineer,0.8,15,Morning,2,Startup,Same City,6.5,777339,9,0
Frontend Developer,0.9,15,Afternoon,0,Enterprise,Different City,1.8,419162,8,1
Backend Developer,8.9,30,Morning,2,Startup,Same City,5.3,1080989,17,1
Data Analyst,1.9,15,Morning,0,Mid-size,Same City,2.7,645771,16,1
Frontend Developer,3.2,45,Afternoon,1,Startup,Different City,2.9,1245807,10,1
Software Engineer,2.3,90,Evening,0,Mid-size,Same City,7.0,1426414,10,1
Software Engineer,3.5,30,Morning,2,Enterprise,Different City,9.2,840282,6,0
Frontend Developer,0.7,30,Afternoon,0,Mid-size,Same City,4.6,626149,17,0
Backend Developer,5.2,30,Evening,0,Mid-size,Same City,2.9,1052498,16,1
Software Engineer,0.7,45,Evening,0,Startup,Same City,6.8,910081,15,0
Backend Developer,8.0,15,Morning,0,Mid-size,Different City,8.8,1042736,14,0
Software Engineer,2.3,45,Evening,0,Mid-size,Same City,7.7,1005584,4,0
Software Engineer,5.4,45,Morning,2,Startup,Different City,8.8,590907,4,1
QA Tester,8.8,45,Morning,3,Mid-size,Different City,5.8,623167,2,1
Software Engineer,6.5,30,Morning,0,Startup,Same City,7.8,892059,11,0
Data Analyst,5.3,45,Afternoon,2,Enterprise,Same City,2.3,325842,4,0
Frontend Developer,3.2,15,Morning,0,Mid-size,Same City,4.1,252589,16,0
Frontend Developer,3.3,15,Morning,0,Startup,Same City,4.5,637167,4,0
Backend Developer,6.7,60,Morning,1,Mid-size,Same City,5.6,304918,1,0
Software Engineer,9.9,45,Evening,1,Mid-size,Same City,9.4,257711,19,1
Data Analyst,6.6,15,Evening,3,Enterprise,Different City,8.9,571574,2,1
Backend Developer,5.6,30,Morning,0,Enterprise,Different City,2.2,968687,9,1
QA Tester,7.3,30,Evening,1,Mid-size,Different City,2.6,1000506,13,1
Backend Developer,4.7,30,Evening,0,Enterprise,Different City,4.2,1139037,18,1
Backend Developer,0.6,30,Afternoon,0,Mid-size,Same City,3.6,508989,16,0
Software Engineer,5.6,15,Morning,0,Startup,Same City,6.5,1123002,16,0
QA Tester,9.6,30,Afternoon,3,Mid-size,Different City,9.1,371315,10,0
Backend Developer,1.8,45,Evening,1,Mid-size,Same City,9.7,1203680,9,0
Data Analyst,6.9,45,Afternoon,1,Mid-size,Different City,6.9,553874,11,0
Data Analyst,2.0,45,Morning,0,Enterprise,Same City,8.5,1421828,4,0
Frontend Developer,5.4,15,Afternoon,0,Mid-size,Same City,5.7,1435598,10,1
QA Tester,1.0,90,Afternoon,0,Enterprise,Different City,2.9,1220513,3,1
QA Tester,4.5,60,Afternoon,0,Enterprise,Different City,5.7,1254354,6,1
Frontend Developer,7.6,60,Morning,0,Mid-size,Same City,6.0,1192781,3,0
Backend Developer,3.5,60,Morning,1,Mid-size,Different City,7.7,932121,9,0
QA Tester,6.6,90,Evening,0,Mid-size,Same City,3.0,445507,3,0
Data Analyst,8.0,45,Evening,0,Enterprise,Same City,4.3,313944,18,0
Data Analyst,9.3,30,Morning,0,Mid-size,Different City,4.3,715718,8,0
Software Engineer,2.3,45,Evening,0,Startup,Same City,9.6,1406013,8,0
QA Tester,4.0,45,Morning,0,Mid-size,Same City,5.0,1425370,15,0
Backend Developer,1.5,45,Afternoon,2,Mid-size,Same City,7.8,584267,13,0
Frontend Developer,9.9,45,Afternoon,0,Startup,Same City,7.8,535024,7,0
Frontend Developer,9.3,15,Evening,1,Startup,Same City,3.4,1238131,19,0
Backend Developer,5.4,30,Evening,0,Mid-size,Same City,6.1,1264170,8,0
Software Engineer,8.4,90,Morning,0,Mid-size,Same City,9.0,1124261,10,0
Frontend Developer,5.2,45,Evening,0,Mid-size,Different City,5.3,906921,17,0
QA Tester,6.2,45,Morning,2,Startup,Same City,9.5,303205,1,1
Software Engineer,0.9,30,Afternoon,1,Startup,Different City,2.9,356948,13,1
QA Tester,7.6,30,Afternoon,0,Mid-size,Same City,1.7,625233,13,0
Data Analyst,1.3,60,Afternoon,0,Mid-size,Same City,9.0,861442,16,0
Software Engineer,8.3,45,Morning,0,Startup,Same City,8.6,468480,9,1
Frontend Developer,7.8,60,Evening,0,Mid-size,Same City,9.9,765985,10,0
Software Engineer,7.1,30,Morning,2,Mid-size,Same City,7.1,378514,6,0
Software Engineer,0.4,45,Morning,0,Startup,Same City,9.4,1069409,5,0
Software Engineer,3.0,30,Afternoon,0,Startup,Same City,8.4,254983,2,0
Software Engineer,2.6,45,Afternoon,0,Startup,Same City,8.6,945269,11,0
QA Tester,3.6,30,Evening,0,Enterprise,Same City,6.1,1275926,9,0
Data Analyst,0.9,30,Morning,0,Enterprise,Same City,4.4,1494128,6,0
Backend Developer,9.4,45,Morning,0,Enterprise,Same City,9.4,417806,8,1
Software Engineer,5.5,90,Evening,1,Enterprise,Different City,4.9,979714,9,1
Frontend Developer,3.1,15,Afternoon,1,Mid-size,Same City,5.8,891800,9,0
Software Engineer,4.0,60,Morning,0,Mid-size,Same City,5.0,316786,8,0
Frontend Developer,4.5,30,Afternoon,1,Mid-size,Same City,6.1,516902,12,0
QA Tester,6.0,30,Afternoon,0,Startup,Different City,5.2,332673,8,0
Frontend Developer,5.2,15,Afternoon,0,Mid-size,Same City,1.4,402904,3,1
Backend Developer,9.2,30,Afternoon,0,Enterprise,Different City,8.9,1169372,13,0
Data Analyst,5.0,45,Evening,0,Mid-size,Same City,5.0,509111,19,0
Frontend Developer,9.9,15,Evening,0,Mid-size,Different City,6.3,889157,2,1
Frontend Developer,8.5,30,Afternoon,0,Startup,Different City,2.3,685078,17,1
Data Analyst,2.1,90,Morning,0,Mid-size,Different City,1.0,531872,16,1
Backend Developer,9.3,15,Evening,3,Mid-size,Same City,3.2,683073,4,1
Software Engineer,1.2,60,Afternoon,0,Enterprise,Same City,7.3,731537,18,0
Frontend Developer,8.2,30,Afternoon,0,Mid-size,Same City,1.9,899307,14,0
Data Analyst,3.8,45,Morning,0,Enterprise,Same City,9.2,1401124,2,0
QA Tester,8.8,30,Evening,0,Mid-size,Different City,2.9,645380,13,1
Data Analyst,8.7,15,Afternoon,0,Enterprise,Same City,2.8,735940,17,1
QA Tester,8.1,15,Morning,1,Mid-size,Same City,2.6,591768,15,0
Backend Developer,7.9,15,Afternoon,0,Mid-size,Same City,1.1,567234,5,0
Software Engineer,3.0,15,Evening,0,Mid-size,Same City,7.9,1472178,7,0
Data Analyst,0.8,45,Morning,0,Enterprise,Same City,8.9,1402849,18,0
Frontend Developer,4.0,60,Evening,0,Enterprise,Different City,6.5,506196,11,1
Backend Developer,1.7,60,Afternoon,0,Startup,Same City,2.7,473626,18,1
Data Analyst,6.9,45,Afternoon,0,Startup,Same City,3.6,460704,5,1
Frontend Developer,3.5,15,Morning,0,Enterprise,Same City,5.3,486579,13,0
Data Analyst,9.8,30,Morning,0,Mid-size,Same City,9.6,1192302,18,1
QA Tester,6.4,30,Evening,0,Mid-size,Same City,3.2,644079,2,0
Data Analyst,8.2,30,Morning,3,Mid-size,Same City,7.6,790436,4,0
Data Analyst,1.3,45,Afternoon,0,Startup,Different City,5.0,336545,13,0
Data Analyst,8.6,45,Morning,1,Enterprise,Different City,3.7,1353035,16,0
Backend Developer,9.2,30,Morning,1,Enterprise,Different City,5.1,988705,6,0
Data Analyst,4.9,30,Morning,0,Mid-size,Same City,1.6,578333,8,0
Frontend Developer,6.1,60,Afternoon,0,Mid-size,Different City,8.2,651345,16,1
QA Tester,7.6,60,Evening,0,Enterprise,Different City,3.2,341954,13,1
QA Tester,1.7,30,Morning,1,Startup,Different City,7.5,1194545,4,0
Data Analyst,5.0,90,Morning,0,Enterprise,Same City,1.6,863667,2,0
Backend Developer,4.0,90,Morning,1,Startup,Different City,9.6,533197,9,0
Backend Developer,1.5,30,Afternoon,2,Mid-size,Different City,2.7,1132816,18,1
Frontend Developer,3.7,30,Afternoon,1,Enterprise,Different City,8.9,746626,17,1
Data Analyst,0.7,45,Evening,0,Mid-size,Same City,8.3,1466852,8,1
QA Tester,0.3,90,Afternoon,0,Mid-size,Different City,9.7,482415,15,0
Backend Developer,1.4,60,Afternoon,1,Mid-size,Different City,5.3,1163107,9,1
Data Analyst,9.6,15,Morning,0,Mid-size,Same City,7.5,704318,17,0
Backend Developer,5.5,30,Evening,0,Startup,Same City,4.3,1437939,2,1
Backend Developer,9.7,45,Morning,1,Enterprise,Different City,2.7,528429,6,0
QA Tester,4.3,45,Morning,0,Enterprise,Same City,5.0,1259926,5,0
Software Engineer,3.1,15,Afternoon,2,Mid-size,Same City,2.5,573733,17,1
Frontend Developer,5.1,60,Afternoon,1,Mid-size,Same City,9.8,263944,2,1
Frontend Developer,4.4,45,Afternoon,0,Startup,Different City,1.9,875329,18,0
QA Tester,1.1,60,Afternoon,2,Startup,Same City,6.3,1131993,10,0
Backend Developer,6.4,60,Afternoon,0,Mid-size,Same City,6.6,251607,10,0
Data Analyst,2.2,45,Morning,0,Enterprise,Same City,5.8,1301529,6,0
Backend Developer,6.2,30,Evening,0,Mid-size,Different City,7.0,1244426,12,0
QA Tester,6.5,45,Afternoon,0,Enterprise,Same City,2.0,1098115,17,1
Frontend Developer,1.5,15,Afternoon,0,Startup,Different City,6.0,1280661,13,0
Backend Developer,0.6,45,Afternoon,0,Mid-size,Different City,3.6,1146020,16,0
Frontend Developer,7.8,15,Morning,0,Startup,Same City,9.5,1288525,10,0
Data Analyst,4.6,45,Afternoon,0,Mid-size,Same City,7.9,1161974,2,0
Frontend Developer,0.6,30,Afternoon,1,Startup,Same City,9.8,964090,2,0
Frontend Developer,9.9,15,Morning,1,Enterprise,Same City,1.3,601314,7,1
Software Engineer,0.6,15,Afternoon,0,Startup,Same City,3.6,819399,6,0
Software Engineer,7.0,15,Evening,0,Enterprise,Different City,2.8,1242957,1,0
Software Engineer,9.8,45,Afternoon,0,Mid-size,Different City,1.1,718897,12,0
Frontend Developer,2.4,45,Evening,0,Enterprise,Same City,3.2,551635,13,1
QA Tester,1.4,45,Morning,1,Mid-size,Same City,7.1,1315481,12,1
Frontend Developer,1.2,15,Morning,1,Enterprise,Same City,3.1,1328849,19,1
QA Tester,3.0,15,Morning,0,Startup,Same City,5.6,1423767,9,0
QA Tester,1.0,15,Afternoon,0,Enterprise,Same City,9.0,1455882,10,0
Software Engineer,6.9,15,Morning,0,Enterprise,Different City,7.2,316538,17,0
Backend Developer,0.6,60,Morning,0,Startup,Different City,4.6,1403146,18,1
Data Analyst,5.1,30,Evening,0,Startup,Same City,4.4,937933,8,0
Software Engineer,10.0,30,Evening,3,Mid-size,Different City,5.1,512025,7,1
Software Engineer,8.1,15,Afternoon,1,Enterprise,Same City,2.6,445392,9,1
Backend Developer,6.2,30,Morning,0,Mid-size,Different City,6.7,1427569,10,1
Data Analyst,3.1,45,Morning,0,Mid-size,Same City,4.3,1047762,12,0
Frontend Developer,6.2,45,Morning,2,Startup,Same City,8.7,397083,15,0
Frontend Developer,5.3,30,Afternoon,0,Startup,Different City,7.8,1382113,15,0
Software Engineer,4.3,15,Evening,0,Enterprise,Same City,6.5,835273,4,0
Data Analyst,1.3,30,Afternoon,0,Startup,Different City,4.3,681508,4,0
Software Engineer,8.9,30,Morning,1,Mid-size,Same City,2.9,896592,1,0
QA Tester,4.5,30,Afternoon,0,Enterprise,Same City,8.0,386322,12,0
Software Engineer,1.9,90,Morning,1,Startup,Same City,5.4,508116,2,0
Software Engineer,3.7,45,Morning,2,Mid-size,Same City,3.0,283087,15,1
Frontend Developer,4.1,45,Afternoon,2,Startup,Same City,2.8,1374528,17,1
Frontend Developer,8.3,30,Afternoon,2,Mid-size,Same City,2.5,286368,7,1
Frontend Developer,7.3,30,Morning,0,Startup,Same City,8.0,1107247,6,0
QA Tester,7.7,45,Morning,0,Enterprise,Same City,3.1,1389269,12,1
Frontend Developer,0.1,45,Evening,1,Mid-size,Different City,5.7,833188,19,1
Data Analyst,4.2,45,Morning,1,Mid-size,Same City,5.1,950526,1,0
Backend Developer,4.8,15,Morning,0,Mid-size,Different City,6.2,472182,14,0
Data Analyst,0.2,45,Morning,0,Startup,Same City,8.9,406405,4,0
Data Analyst,2.6,30,Morning,1,Enterprise,Same City,8.8,381016,5,0
Frontend Developer,7.6,60,Morning,1,Mid-size,Same City,5.1,298070,1,0
Backend Developer,1.4,45,Evening,0,Mid-size,Same City,1.1,650337,1,0
Backend Developer,5.4,45,Morning,0,Startup,Same City,4.8,920037,6,0
Backend Developer,2.2,15,Afternoon,0,Mid-size,Same City,6.5,961921,5,0
QA Tester,0.1,45,Afternoon,0,Startup,Same City,6.0,1264281,2,0
Frontend Developer,2.4,15,Afternoon,0,Mid-size,Same City,6.9,1123841,5,0
Backend Developer,9.8,30,Evening,0,Startup,Different City,2.4,1336240,9,1
QA Tester,8.0,15,Evening,0,Enterprise,Same City,6.8,1166358,19,1
Software Engineer,9.6,45,Morning,0,Startup,Same City,2.6,1189947,15,1
Software Engineer,4.9,30,Afternoon,1,Enterprise,Same City,7.8,561356,13,1
QA Tester,1.1,30,Afternoon,1,Enterprise,Different City,4.1,1251635,12,1
QA Tester,5.5,60,Evening,0,Startup,Same City,7.4,1373852,5,1
Frontend Developer,4.5,30,Afternoon,0,Mid-size,Same City,1.4,315231,2,0
Frontend Developer,8.4,45,Evening,2,Startup,Same City,4.7,1468692,4,1
Software Engineer,1.0,30,Afternoon,0,Mid-size,Same City,7.3,1011816,18,0
Backend Developer,4.9,15,Morning,3,Enterprise,Same City,3.0,347847,10,0
Software Engineer,1.5,60,Afternoon,1,Mid-size,Different City,8.2,1027725,13,1
Backend Developer,3.2,15,Evening,0,Mid-size,Same City,6.7,298503,12,0
Backend Developer,7.4,30,Evening,3,Startup,Same City,6.3,1064639,2,1
Frontend Developer,4.8,45,Morning,0,Mid-size,Same City,4.2,752376,15,1
Data Analyst,3.8,45,Afternoon,0,Startup,Same City,5.3,509966,14,0
Data Analyst,3.9,45,Morning,0,Enterprise,Same City,6.4,1153734,10,0
QA Tester,4.6,30,Morning,0,Mid-size,Same City,5.3,322832,8,0
Frontend Developer,7.9,15,Afternoon,2,Enterprise,Same City,7.3,636435,15,1
Backend Developer,8.9,45,Morning,0,Startup,Same City,4.9,1013389,13,0
Data Analyst,9.6,45,Evening,0,Mid-size,Same City,2.8,1039106,8,1
Backend Developer,7.9,60,Morning,0,Mid-size,Different City,2.9,1342370,14,1
Data Analyst,3.2,60,Evening,1,Startup,Same City,1.1,1169580,1,0
Data Analyst,6.9,60,Morning,0,Mid-size,Same City,3.7,1427120,13,0
Data Analyst,4.4,30,Morning,0,Enterprise,Same City,7.7,287555,8,0
Frontend Developer,2.5,30,Morning,1,Enterprise,Same City,8.1,1068838,18,1
Software Engineer,8.4,60,Morning,0,Mid-size,Same City,2.8,290262,9,0
Backend Developer,0.4,30,Morning,1,Mid-size,Same City,9.6,992021,13,0
Frontend Developer,9.0,15,Morning,0,Startup,Different City,5.5,711333,3,0
Frontend Developer,4.6,60,Afternoon,1,Enterprise,Different City,9.3,542428,18,0
Frontend Developer,6.4,60,Morning,1,Startup,Same City,7.4,925531,10,0
Frontend Developer,6.6,30,Afternoon,0,Enterprise,Different City,7.5,673751,5,0
Frontend Developer,9.0,15,Morning,0,Mid-size,Different City,1.8,339023,6,1
QA Tester,6.4,30,Evening,2,Mid-size,Same City,3.0,457012,8,0
Backend Developer,6.1,60,Evening,0,Enterprise,Different City,1.1,414772,7,0
Frontend Developer,0.7,90,Afternoon,3,Startup,Same City,7.4,1340092,18,1
Backend Developer,5.2,30,Morning,0,Mid-size,Same City,4.1,1257338,14,1
QA Tester,1.5,15,Morning,0,Mid-size,Same City,8.1,505623,15,1
QA Tester,7.4,60,Evening,0,Startup,Same City,4.1,789303,10,1
Backend Developer,5.1,30,Morning,3,Mid-size,Same City,8.4,341104,12,1
Data Analyst,6.8,45,Morning,0,Mid-size,Same City,2.2,603884,7,0
Software Engineer,0.4,90,Morning,2,Enterprise,Different City,2.6,578784,7,1
Data Analyst,0.8,15,Morning,2,Startup,Different City,4.1,1428092,11,1
Data Analyst,7.2,45,Morning,0,Enterprise,Different City,4.7,1213208,13,1
Data Analyst,0.7,15,Afternoon,0,Startup,Different City,4.1,1472017,15,1
Frontend Developer,0.7,30,Morning,1,Startup,Different City,7.9,1385583,18,0
QA Tester,0.1,60,Afternoon,0,Startup,Same City,1.9,992003,7,0
Data Analyst,9.6,30,Morning,1,Startup,Same City,4.2,297728,6,0
QA Tester,7.4,90,Morning,0,Startup,Same City,8.5,1051310,11,0
Backend Developer,3.5,45,Evening,0,Enterprise,Different City,1.6,759958,8,0
Software Engineer,3.0,30,Morning,1,Mid-size,Same City,9.5,1165357,1,0
Backend Developer,3.5,30,Evening,0,Startup,Different City,9.9,1307721,8,0
Backend Developer,7.7,30,Afternoon,0,Startup,Same City,1.8,268226,8,0
Frontend Developer,6.6,30,Morning,0,Enterprise,Same City,3.6,798407,19,0
Software Engineer,1.9,15,Evening,0,Enterprise,Different City,4.4,1362136,3,1
Backend Developer,1.7,30,Morning,0,Startup,Same City,8.0,307353,5,0
Backend Developer,1.0,30,Evening,1,Startup,Same City,6.4,635145,3,1
Software Engineer,6.6,45,Morning,0,Startup,Same City,6.8,845929,15,0
Software Engineer,7.6,45,Evening,0,Startup,Same City,7.8,301712,14,0
Backend Developer,2.7,45,Morning,1,Startup,Different City,2.1,695405,15,1
Software Engineer,0.2,15,Afternoon,0,Mid-size,Same City,8.5,1225288,17,0
Backend Developer,0.8,30,Afternoon,0,Startup,Same City,7.4,580429,18,0
Backend Developer,9.7,45,Evening,2,Mid-size,Same City,6.2,365278,2,1
Frontend Developer,3.0,30,Evening,1,Startup,Different City,9.0,759272,12,1
Data Analyst,7.7,15,Evening,0,Enterprise,Same City,7.3,415201,16,0
Backend Developer,6.2,60,Evening,0,Enterprise,Same City,2.8,1060944,4,0
QA Tester,3.8,60,Morning,0,Mid-size,Different City,4.9,984391,2,0
Data Analyst,2.1,45,Morning,0,Mid-size,Same City,5.4,706770,14,0
Data Analyst,1.2,15,Morning,0,Mid-size,Different City,1.5,869902,11,0
Data Analyst,6.2,60,Morning,0,Mid-size,Same City,9.6,1481215,13,0
Frontend Developer,7.7,45,Morning,0,Enterprise,Same City,2.2,367639,7,0
Backend Developer,6.4,60,Afternoon,0,Mid-size,Same City,7.3,978871,10,1
Frontend Developer,5.3,60,Morning,0,Enterprise,Different City,5.6,260960,1,0
Backend Developer,0.4,60,Afternoon,3,Enterprise,Different City,1.2,736744,4,1
Frontend Developer,9.7,45,Morning,0,Mid-size,Same City,9.3,1420365,18,0
Frontend Developer,8.0,15,Morning,0,Mid-size,Same City,8.7,571064,6,0
QA Tester,2.9,45,Afternoon,0,Startup,Different City,5.7,1057819,2,0
Frontend Developer,9.8,45,Afternoon,0,Startup,Same City,3.1,658540,3,0
Software Engineer,6.0,45,Afternoon,1,Mid-size,Different City,2.1,838248,14,0
QA Tester,5.8,15,Afternoon,0,Startup,Same City,4.3,372994,8,0
Frontend Developer,7.5,15,Morning,0,Enterprise,Different City,3.3,1157701,16,1
Data Analyst,8.1,60,Afternoon,0,Startup,Same City,5.6,980456,19,1
Software Engineer,6.6,45,Morning,1,Mid-size,Same City,9.7,1077530,18,0
Software Engineer,1.3,90,Morning,0,Mid-size,Same City,6.2,944595,6,0
Software Engineer,3.4,60,Afternoon,0,Mid-size,Different City,9.0,277949,14,0
QA Tester,9.3,45,Morning,0,Mid-size,Same City,6.9,1452469,3,1
Frontend Developer,2.2,45,Morning,0,Enterprise,Same City,5.3,1189536,16,0
Frontend Developer,3.7,60,Evening,0,Mid-size,Same City,8.7,585681,1,1
Data Analyst,4.3,45,Evening,0,Mid-size,Same City,5.2,628147,12,0
Data Analyst,4.4,45,Morning,1,Startup,Different City,8.8,1274483,14,0
Software Engineer,6.1,15,Morning,1,Mid-size,Different City,3.6,824989,19,1
Data Analyst,9.4,30,Morning,0,Enterprise,Same City,2.2,1086943,19,0
QA Tester,2.4,45,Morning,0,Mid-size,Different City,8.7,330664,9,1
Frontend Developer,1.2,30,Evening,0,Enterprise,Different City,6.3,661496,7,0
Software Engineer,2.0,30,Morning,3,Mid-size,Different City,9.0,1338003,14,0
Data Analyst,8.9,30,Afternoon,0,Startup,Same City,9.4,347180,5,0
QA Tester,6.5,30,Morning,1,Startup,Different City,1.5,877838,18,1
QA Tester,2.9,30,Evening,0,Mid-size,Same City,5.5,1376528,9,1
Data Analyst,8.2,30,Morning,0,Mid-size,Same City,4.4,316046,7,0
Frontend Developer,8.6,90,Afternoon,0,Enterprise,Different City,6.6,356918,9,1
Data Analyst,8.5,45,Morning,0,Startup,Same City,8.1,865358,4,0
Software Engineer,9.2,15,Afternoon,2,Mid-size,Same City,3.5,1084754,17,1
Data Analyst,2.5,15,Morning,3,Mid-size,Different City,6.0,1249488,12,1
QA Tester,7.6,45,Morning,0,Mid-size,Different City,7.4,1205200,6,1
Data Analyst,4.6,30,Evening,0,Startup,Same City,2.2,1368822,18,0
Frontend Developer,8.4,60,Evening,2,Startup,Different City,8.3,1277348,8,1
Backend Developer,7.3,45,Evening,1,Startup,Same City,6.5,789871,15,0
Data Analyst,7.8,60,Afternoon,0,Startup,Same City,9.5,698431,3,0
Frontend Developer,6.6,30,Evening,0,Startup,Different City,4.1,649325,2,1
Frontend Developer,1.8,45,Morning,0,Startup,Same City,2.0,571901,9,1
QA Tester,5.5,30,Morning,0,Mid-size,Same City,5.6,1043091,8,0
Frontend Developer,9.8,90,Morning,0,Mid-size,Same City,1.8,895558,4,1
Frontend Developer,9.4,45,Afternoon,0,Enterprise,Same City,9.7,1155643,2,0
Frontend Developer,0.4,30,Morning,0,Startup,Same City,1.3,265064,14,0
Frontend Developer,1.6,30,Morning,0,Mid-size,Different City,7.8,1460763,2,0
Software Engineer,1.3,15,Afternoon,0,Mid-size,Different City,5.7,1139417,2,0
Software Engineer,7.3,45,Evening,1,Startup,Same City,4.3,1342834,7,1
